                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.80338,                0.64517,                 1.0112,                0.92717,                0.87566,                0.93539,                0.52192,                 1.5013,                0.83497,                 1.4451,             0.00014862,             0.00014862,             0.00014862
                     92,                0.81071,                0.66035,                 1.0531,                0.93652,                0.86038,                0.92826,                  0.517,                 1.5332,                0.86282,                 1.4824,             0.00013625,             0.00013625,             0.00013625
                     93,                0.79841,                0.64078,                 1.0096,                 0.9466,                0.85592,                0.92581,                0.51259,                  1.551,                0.86171,                 1.5024,             0.00012387,             0.00012387,             0.00012387
                     94,                  0.828,                0.68607,                 1.0464,                0.95881,                0.85165,                0.92427,                0.51307,                 1.5231,                0.82461,                 1.4749,              0.0001115,              0.0001115,              0.0001115
                     95,                0.81905,                0.67551,                 1.0548,                0.95782,                0.85767,                0.92514,                0.52244,                 1.5012,                0.80636,                  1.451,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.79634,                0.63648,                 1.0283,                 0.9608,                0.86187,                0.92744,                0.52411,                 1.4897,                 0.8081,                 1.4484,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.79519,                0.63903,                 1.0343,                 0.9481,                0.86689,                0.92232,                0.52467,                 1.4902,                0.81704,                 1.4567,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.78018,                0.63256,                 1.0372,                0.94558,                0.86788,                0.90685,                0.51976,                 1.4988,                0.81649,                 1.4728,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.80654,                0.65294,                 1.0529,                0.95332,                0.87491,                0.91595,                0.51578,                 1.5018,                0.81488,                 1.4767,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.80053,                  0.661,                 1.0471,                0.95372,                0.87442,                0.91584,                 0.5191,                 1.5088,                0.82675,                 1.4854,              3.725e-05,              3.725e-05,              3.725e-05
